,employeeID,degree,location,technicalSkills,previousJobs,appliedJobs,searchedJobs,network
0,0,Data Science,Houston,"['Ruby', 'C', 'Javascript', 'Scala', 'R', 'Angular', 'React', 'Swift', 'Java', 'Bash', 'SQL', 'Node.js', 'Python', 'Windows', 'MacOS', 'Linux', 'AWS', 'Spring']","[1317, 724, 717, 1378, 62]","[364, 1225, 1041, 1958, 229, 1966, 1932]","[364, 1225, 1041, 1958, 229, 1966, 1932]","[125, 451, 29, 94]"
1,1,Cyber Security,Seattle,"['R', 'C', 'Javascript', 'Node.js', 'Python', 'SQL', 'Ruby', 'HTML/CSS', 'MacOS', 'Scikit-learn', 'AWS', 'PostGres', 'NumPy', 'Azure']","[137, 846, 29, 1175]","[347, 542, 1341]","[347, 542, 1341]",[397]
2,2,Cyber Security,Boston,"['R', 'Swift', 'Python', 'Ruby', 'SQL', 'C++', 'Angular', 'Node.js', 'Java', 'Bash', 'C', 'React', 'MacOS', 'PostGres', 'NumPy', 'AWS', 'Oracle', 'Azure', 'Scikit-learn', 'Spring', 'Javascript']",[],"[1007, 242, 1111, 756, 124, 1313, 1256, 1670, 1549, 1514]","[1007, 242, 1111, 756, 124, 1313, 1256, 1670, 1549, 1514]",[]
3,3,Data Science,San Francisco,"['Swift', 'React', 'R', 'Python', 'Bash', 'HTML/CSS', 'C++', 'Java', 'Javascript', 'Ruby', 'C', 'Node.js', 'MacOS', 'Linux']","[928, 1153]","[1781, 340, 1198, 780, 1570, 58, 1501, 1006, 216, 776]","[1781, 340, 1198, 780, 1570, 58, 1501, 1006, 216, 776]",[473]
4,4,Cyber Security,Houston,"['Bash', 'Linux', 'MacOS', 'Windows', 'Spring', 'Azure', 'Oracle', 'MySQLWorkbench', 'Java', 'SQL']",[347],"[219, 1167, 1866, 937, 697, 1281, 899, 490, 1141]","[219, 1167, 1866, 937, 697, 1281, 899, 490, 1141]",[]
5,5,Information Science,San Francisco,"['Swift', 'Scala', 'R', 'Bash', 'Java', 'C++', 'Python', 'Javascript', 'MacOS', 'Scikit-learn', 'NumPy', 'Spring', 'AWS']","[232, 1144]","[1801, 923, 1485, 739, 1552, 1262]","[1801, 923, 1485, 739, 1552, 1262]",[216]
6,6,Cyber Security,San Francisco,"['SQL', 'Swift', 'C', 'Node.js', 'Bash', 'Ruby', 'R', 'HTML/CSS', 'Linux', 'Windows', 'MacOS', 'Azure', 'PostGres', 'NumPy', 'Scikit-learn', 'Javascript', 'Python']","[589, 287, 931, 1219]","[1630, 411, 1450]","[1630, 411, 1450]",[411]
7,7,Computer Science,San Francisco,"['Node.js', 'Java', 'Bash', 'Ruby', 'Angular', 'Scala', 'C', 'Python', 'Javascript', 'SQL', 'R', 'React', 'Windows', 'Linux', 'MacOS', 'AWS', 'Spring', 'MySQLWorkbench']","[127, 521]","[1281, 1141, 576, 1559, 282, 189, 158, 1863]","[1281, 1141, 576, 1559, 282, 189, 158, 1863]",[460]
8,8,Computer Science,Seattle,"['Bash', 'Java', 'C++', 'Swift', 'Scala', 'HTML/CSS', 'R', 'Angular', 'MacOS', 'NumPy', 'MySQLWorkbench', 'Oracle', 'Azure', 'PostGres', 'Scikit-learn', 'Spring', 'Python', 'SQL']",[],"[143, 110, 1333, 129, 111, 1528, 1245, 1612, 934, 179]","[143, 110, 1333, 129, 111, 1528, 1245, 1612, 934, 179]",[]
9,9,Computer Science,NYC,"['Angular', 'Node.js', 'Swift', 'C', 'Javascript', 'SQL', 'Windows', 'Linux', 'MacOS', 'Oracle', 'Spring', 'AWS', 'NumPy', 'Scikit-learn', 'MySQLWorkbench', 'PostGres', 'Python', 'Java']",[],"[35, 623, 255, 1128]","[35, 623, 255, 1128]",[]
