,jobID,degree,location,technicalSkills,preferredSkills,jobTitle
0,0,Computer Science,NYC,"['Ruby', 'Bash', 'Swift', 'SQL', 'Node.js', 'Javascript', 'PostGres']","['React', 'Oracle']",Javascript Developer
1,1,Cyber Security,NYC,"['C', 'Swift', 'SQL', 'Node.js', 'Ruby', 'MySQLWorkbench', 'Javascript']",['Angular'],Cryptographer
2,2,Data Science,NYC,"['R', 'Bash', 'SQL', 'Javascript', 'Ruby', 'Spring', 'PostGres', 'Oracle', 'AWS', 'Python', 'Java']",['Scala'],Data Scientist
3,3,Computer Science,Seattle,"['Java', 'C++', 'R', 'MySQLWorkbench', 'PostGres', 'Azure', 'AWS', 'Javascript', 'Python', 'SQL']",['Node.js'],Full Stack Developer
4,4,Cyber Security,Seattle,"['Ruby', 'Python', 'Bash', 'HTML/CSS', 'Swift', 'MySQLWorkbench', 'SQL']",['R'],Data Recovery Professional
5,5,Data Science,Boston,"['Ruby', 'Scala', 'Python']",['NumPy'],Data Scientist
6,6,Data Science,San Francisco,"['Scala', 'Java', 'Javascript', 'Python', 'React', 'Scikit-learn']",['Ruby'],Database Application Specialist
7,7,Data Science,Houston,"['Java', 'C', 'Node.js', 'Swift', 'Javascript', 'HTML/CSS', 'Angular', 'Bash', 'Python']",['NumPy'],Data Architect
8,8,Computer Science,San Francisco,"['Swift', 'Javascript', 'Bash', 'Scikit-learn', 'Python', 'SQL']","['Azure', 'MySQLWorkbench']",Full Stack Developer
9,9,Cyber Security,Boston,"['Node.js', 'SQL', 'React', 'Java', 'MySQLWorkbench', 'AWS', 'Scikit-learn', 'Azure', 'Javascript', 'Python']",[],Network Security Engineer
10,10,Data Science,Seattle,"['Node.js', 'Angular', 'Javascript', 'Azure', 'PostGres', 'Oracle', 'SQL']","['Ruby', 'HTML/CSS', 'C']",Data Engineer
11,11,Cyber Security,Boston,"['Python', 'SQL', 'Swift', 'AWS', 'Spring', 'Oracle', 'Javascript', 'Java']","['Scikit-learn', 'Node.js']",Information Security Analyst
12,12,Cyber Security,NYC,"['Javascript', 'Scala', 'Bash', 'Swift', 'Ruby', 'Python', 'C++', 'SQL']","['MySQLWorkbench', 'Java']",Cryptographer
13,13,Cyber Security,Seattle,"['Bash', 'R', 'Ruby', 'AWS', 'Python']",['Scala'],Cryptographer
14,14,Data Science,Seattle,"['Scala', 'Ruby', 'React', 'MySQLWorkbench', 'Javascript', 'SQL']",['PostGres'],Data Engineer
15,15,Computer Science,Seattle,"['HTML/CSS', 'Javascript', 'Swift', 'Scikit-learn', 'Python']",['Azure'],Front End Engineer
16,16,Cyber Security,San Francisco,"['Scala', 'SQL', 'HTML/CSS', 'Java', 'Python', 'React', 'AWS', 'PostGres', 'Spring', 'Javascript']","['Bash', 'Swift']",Penetration Tester
17,17,Data Science,Seattle,"['Ruby', 'Java', 'Scala', 'Python']",['Scikit-learn'],Data Architect
18,18,Data Science,NYC,"['Bash', 'Scala', 'Scikit-learn', 'MySQLWorkbench', 'Spring', 'Python', 'Java', 'SQL']","['NumPy', 'R']",Data Architect
19,19,Information Science,Boston,"['R', 'React', 'SQL', 'Ruby', 'HTML/CSS', 'Python', 'Oracle', 'Javascript']","['Azure', 'Scala']",Data Analyst
20,20,Information Science,San Francisco,"['React', 'PostGres', 'Scikit-learn', 'AWS', 'Javascript', 'Python', 'SQL']","['Oracle', 'Java']",Database Applications Specialist
21,21,Data Science,San Francisco,"['Javascript', 'AWS', 'NumPy', 'Oracle', 'Python', 'SQL']","['Spring', 'Java']",Database Application Specialist
