,employeeID,jobID
0,0,1932
1,1,347
2,1,542
3,1,1341
4,2,242
5,2,1111
6,2,756
7,2,124
8,2,1313
9,2,1256
10,2,1670
11,2,1549
12,2,1514
13,3,216
14,3,776
15,5,1552
16,5,1262
17,6,1630
18,6,411
19,6,1450
20,7,158
21,7,1863
22,9,623
23,9,255
24,9,1128
25,10,1853
26,11,1060
27,13,488
28,13,131
29,13,1111
30,13,1975
31,15,453
32,16,1407
33,16,717
34,17,1754
35,18,1271
36,18,1879
37,19,1568
38,19,609
39,20,1491
40,21,1132
41,21,1360
42,21,1064
43,21,1184
44,21,197
45,21,480
46,21,444
47,21,112
48,21,660
49,22,1076
50,22,1253
51,22,1202
52,22,530
53,24,1167
54,24,500
55,24,1447
56,24,1593
57,27,1419
58,27,368
59,27,1242
60,27,1341
61,27,1676
62,27,1925
63,27,1604
64,28,1248
65,28,1430
66,29,170
67,30,1235
68,32,237
69,32,959
70,32,1041
71,32,1401
72,33,750
73,33,383
74,33,1936
75,34,402
76,34,640
77,34,1996
78,34,460
79,35,9
80,35,507
81,35,1920
82,35,357
83,36,1336
84,36,465
85,36,535
86,36,857
87,36,605
88,36,312
89,36,221
90,36,114
91,37,1540
92,37,1135
93,37,1797
94,37,559
95,39,1689
96,39,762
97,39,1640
98,39,17
99,39,1005
100,39,1334
101,39,1629
102,39,1217
103,40,92
104,40,1811
105,40,1019
106,41,946
107,41,415
108,41,612
109,41,434
110,42,834
111,43,1444
112,44,955
113,44,1663
114,44,1192
115,44,1497
116,44,1295
117,44,1185
118,47,576
119,47,1645
120,47,292
121,47,1277
122,47,765
123,47,226
124,47,1245
125,48,443
126,48,182
127,50,277
128,50,860
129,51,1515
130,51,840
131,51,720
132,51,1822
133,51,758
134,51,345
135,53,471
136,53,1332
137,53,425
138,54,649
139,55,26
140,55,1953
141,55,34
142,55,1972
143,55,404
144,56,900
145,57,552
146,57,1486
147,57,602
148,58,1695
149,58,1072
150,58,633
151,58,995
152,58,1087
153,58,1269
154,58,1490
155,58,257
156,59,330
157,59,636
158,59,1820
159,60,1499
160,60,1191
161,60,1381
162,61,1487
163,62,197
164,63,1023
165,63,1681
166,63,350
167,63,1366
168,63,253
169,63,1779
170,63,403
171,63,643
172,63,665
173,67,1192
174,67,1612
175,68,11
176,68,625
177,69,1948
178,69,408
179,69,312
180,69,268
181,69,1240
182,69,600
183,70,77
184,70,255
185,70,1734
186,70,1057
187,70,1566
188,70,1520
189,70,1768
190,70,1147
191,70,387
192,70,78
193,71,559
194,72,504
195,73,1836
196,73,1307
197,74,444
198,74,963
199,74,251
200,74,1316
201,74,1849
202,74,820
203,74,1298
204,74,1462
205,78,921
206,78,834
207,79,627
208,79,594
209,79,1058
210,79,281
211,79,1717
212,80,1604
213,81,379
214,81,174
215,81,1897
216,81,616
217,81,740
218,81,1651
219,82,929
220,82,165
221,82,626
222,82,73
223,82,1001
224,82,711
225,83,99
226,83,1970
227,83,1795
228,84,488
229,84,586
230,84,816
231,84,952
232,86,373
233,86,928
234,86,1452
235,86,733
236,89,812
237,90,1390
238,90,267
239,90,566
240,92,669
241,93,1844
242,96,1968
243,96,1791
244,96,1354
245,97,1117
246,97,1850
247,97,1822
248,97,286
249,97,1425
250,97,574
251,98,1092
252,98,1494
253,98,271
254,98,568
255,99,751
256,99,863
257,99,1770
258,100,1584
259,103,434
260,103,344
261,103,1963
262,103,1598
263,103,1895
264,103,964
265,106,826
266,106,1330
267,106,1145
268,106,106
269,107,1107
270,107,1012
271,107,298
272,109,1106
273,109,1141
274,109,1848
275,109,1279
276,109,1913
277,109,777
278,109,1982
279,109,1298
280,110,1474
281,110,1703
282,110,1468
283,110,551
284,110,498
285,110,546
286,110,662
287,110,219
288,111,516
289,111,316
290,112,320
291,112,243
292,112,371
293,112,991
294,112,822
295,112,107
296,115,220
297,115,1743
298,116,126
299,117,98
300,117,1295
301,117,1890
302,119,555
303,119,7
304,120,1730
305,120,1407
306,121,488
307,121,1412
308,121,1841
309,121,1864
310,121,1710
311,123,155
312,123,387
313,124,1288
314,124,485
315,124,825
316,124,375
317,125,1314
318,125,945
319,125,1045
320,125,1452
321,125,1240
322,126,464
323,126,1896
324,126,792
325,126,969
326,126,1923
327,126,165
328,126,1497
329,126,1242
330,126,1385
331,127,190
332,127,809
333,127,866
334,128,1190
335,129,1624
336,129,1687
337,129,884
338,129,1387
339,129,1027
340,129,751
341,129,1149
342,131,1162
343,131,702
344,131,1782
345,131,337
346,132,267
347,132,1179
348,134,934
349,134,1902
350,134,863
351,135,1913
352,135,1559
353,135,541
354,135,1973
355,135,1864
356,135,1114
357,135,1399
358,136,445
359,136,1514
360,136,1915
361,136,1376
362,136,1653
363,136,495
364,137,448
365,137,1625
366,137,644
367,137,799
368,137,1700
369,138,1043
370,138,531
371,138,1353
372,138,662
373,138,233
374,138,924
375,138,456
376,139,242
377,139,1836
378,139,1061
379,139,1199
380,139,600
381,139,1017
382,140,1126
383,140,696
384,140,1410
385,141,1851
386,141,715
387,141,347
388,141,232
389,141,1359
390,142,1872
391,142,418
392,142,1632
393,143,1393
394,144,1952
395,144,206
396,144,1838
397,145,459
398,145,1083
399,145,1769
400,145,1922
401,145,304
402,145,349
403,145,1040
404,148,1715
405,149,606
406,149,1281
407,149,251
408,149,83
409,149,1342
410,150,273
411,150,1191
412,150,766
413,151,115
414,151,536
415,151,1270
416,151,1495
417,151,1240
418,151,1536
419,151,176
420,151,908
421,152,167
422,152,1155
423,153,1551
424,153,709
425,153,1662
426,153,876
427,153,1046
428,153,1115
429,153,1932
430,153,204
431,153,1215
432,153,671
433,154,24
434,154,928
435,154,236
436,154,813
437,155,1786
438,155,1051
439,155,735
440,155,662
441,155,1922
442,156,1985
443,156,102
444,156,109
445,156,489
446,157,70
447,157,28
448,157,805
449,157,1905
450,157,165
451,157,385
452,158,241
453,158,1459
454,158,1740
455,158,1650
456,160,706
457,160,1642
458,161,1425
459,161,794
